지역,이름,세부내용,아이콘,경도,위도,방문여부,충전소명,급속충전가능여부,충전소경도,충전소위도
제주,삼양검은모래해변,제주도에서 몇없는 에메랄드빛 아닌 해변<br>덕분에 관광객들이 별로 없어 한적한 편이다.,관광지,126.5863872,33.5260115,red,크리스마스,N,126.8995876,33.50907558
제주,동문시장,주차때문에 헬게이트 그 자체라 숙소가 인근이라면 차를 놓고가는게 좋다.,관광지,126.5271393,33.512865,purple,중문아리랑,N,126.4340345,33.25394619
제주,디앤디파트먼트 제주,,관광지,126.5234639,33.5176855,blue,서귀포농협하나로마트,Y,126.5814224,33.25735353
제주,용연구름다리,,관광지,126.5144775,33.5148728,green,시온교회,N,126.5937309,33.29136049
제주,용두암,,관광지,126.5120637,33.5162323,green,선돌선덕사,N,126.5936059,33.32016515
제주,바다마을정류장 포토존,용마마을 정류장 찾아가기,포토존,126.5035285,33.5170362,blue,삼성여자고등학교,N,126.584112,33.25504717
제주,공항 전망대,,포토존,126.494062,33.5152499,blue,제주봄카페앤스테이,N,126.5872079,33.25026802
제주,도두 무지개 해안도로,,관광지,126.4722155,33.5092284,green,에코럭스,N,126.5075472,33.25248102
제주,도두봉,'키세스존' 검색하기,관광지,126.468593,33.508095,green,제이디피모터스남원점,Y,126.7131931,33.28028252
제주,이호테우해변,,관광지,126.4531502,33.4979571,purple,남원119센터,Y,126.7084316,33.28149406
제주,알작지,몽돌해변이 생각보다 이쁘지 않음.,관광지,126.4401329,33.4960888,purple,제주티에스유스호스텔,N,126.6970302,33.34389903
제주,제주 러브랜드,,관광지,126.49,33.451638,purple,머체왓숲길영농조합,Y,126.6738981,33.33052168
제주,제주도립미술관,,관광지,126.488017,33.452875,red,물영아리주차장,Y,126.6913667,33.3692339
제주,넥슨컴퓨터박물관,"키보드와플, 마우스빵",관광지,126.485107,33.471857,green,휴애리,Y,126.6343826,33.30853467
제주,한라수목원,,관광지,126.4932445,33.4699272,red,예촌연수네가든,N,126.6342195,33.29099936
제주,수목원길 야시장,매일 18:00 - 22:00,관광지,126.4879584,33.4697598,red,위미2리 다목적회관,Y,126.6614546,33.28311695
제주,[폐쇄] 카카오스페이스닷원,코로나때문에 무기한 휴관,관광지,126.5705672,33.4498825,green,의귀교회 인근 공영주차장,Y,126.711247,33.311718
