충전소명,급속충전가능여부,위도,경도
크리스마스,N,33.50907558,126.8995876
중문아리랑,N,33.25394619,126.4340345
서귀포농협하나로마트,Y,33.25735353,126.5814224
시온교회,N,33.29136049,126.5937309
선돌선덕사,N,33.32016515,126.5936059
삼성여자고등학교,N,33.25504717,126.584112
제주봄카페앤스테이,N,33.25026802,126.5872079
에코럭스,N,33.25248102,126.5075472
제이디피모터스남원점,Y,33.28028252,126.7131931
남원119센터,Y,33.28149406,126.7084316
제주티에스유스호스텔,N,33.34389903,126.6970302
머체왓숲길영농조합,Y,33.33052168,126.6738981
물영아리주차장,Y,33.3692339,126.6913667
휴애리,Y,33.30853467,126.6343826
예촌연수네가든,N,33.29099936,126.6342195
위미2리 다목적회관,Y,33.28311695,126.6614546
의귀교회 인근 공영주차장,Y,33.311718,126.711247
제이디피모터스의귀점,N,33.3248656,126.7052113
별빛하늘,N,33.32267144,126.7015972
수망리다목적회관,Y,33.32870746,126.7133138
더빌라스오션,N,33.30098062,126.770629
위미2리사무소,Y,33.2753894,126.6686031
위미3리사무소,Y,33.2755295,126.687898
제주목화,N,33.27578509,126.6994125
소랑호젠펜션,N,33.27580986,126.7052388
흥진자동차공업사,N,33.27494819,126.6575103
남원자동차공업사,N,33.28400278,126.7235939
감귤연구소,N,33.30155256,126.6118165
하례2리마을회,N,33.29720467,126.6088596
펜션연리,N,33.24048959,126.3859715
풀빌라더시크릿 대정점,Y,33.24628335,126.2071113
신도보건진료소(서부보건소),Y,33.27748499,126.1742628
신도2리마을회,N,33.27762235,126.1748541
두바퀴펜션,N,33.27898341,126.1794311
동일1리 마을회,N,33.22816111,126.2412435
무릉1리마을회(다목적),Y,33.27099795,126.200886
제주아로마모텔,N,33.22541594,126.2663868
실버스타,N,33.22282074,126.2569084
무릉1리마을회,N,33.2701387,126.2029889
영락리마을회,N,33.25855534,126.2109754
대정농협 하나로마트,Y,33.23404408,126.2641991
대정농공단지,Y,33.25676783,126.2278396
보성리사무소,Y,33.25116938,126.2731037
서귀포향토오일장,Y,33.26698899,126.5736531
서귀포시 중앙교회,Y,33.27306029,126.5688708
아시아CGI애니메이션센터,Y,33.2525989,126.5673616
빅타이어서귀포점,N,33.25779874,126.5723541
강정크루즈터미널,Y,33.22903918,126.4784679
㈜두레(퍼스트70호텔),N,33.24725224,126.5668471
루체클래식아파트,Y,33.23868673,126.5104442
호텔아루미,N,33.25857411,126.4139621
서귀동 공영주차장(서귀동 28-3),Y,33.2428788,126.5644784
국립기상과학원,Y,33.25881835,126.5178485
NIA글로벌센터,N,33.25347884,126.5201615
올레타이어샵,N,33.25939303,126.5519299
강정생명평화교회,Y,33.23768227,126.4955405
성산서부교회,N,33.44856674,126.9086661
제주자연생태공원주차장,Y,33.44055655,126.8220508
성산읍 노인복지회관,Y,33.44856157,126.906558
제주참숯가마찜질방,Y,33.36899883,126.8633002
제주아띠다올,Y,33.42587709,126.8512586
우리들국수,Y,33.43702104,126.9224044
성산스튜디오,N,33.44451312,126.9190852
성산썬라이즈호텔,N,33.46235059,126.9310261
썬라이즈호텔섭지코지점,N,33.43665415,126.9183054
온평리마을회(온평리사무소),Y,33.40812099,126.9001727
성산자동차공업사,Y,33.4720614,126.9022381
성산점기아오토큐,N,33.43573185,126.9092946
터닝포인트제주,N,33.37300833,126.8726128
늘예솔,N,33.36288467,126.8655403
고망난돌민박가든,N,33.35321077,126.8579144
광치기흑돼지,N,33.45003617,126.9215367
취다선리조트,Y,33.47184922,126.9127039
서귀포시 일터나눔 자활센터,Y,33.24177151,126.5294487
국민건강보험공단서귀포지사,Y,33.25496552,126.5074517
새서귀포교회,N,33.25316728,126.5068952
글래드호텔엔리조트(제주항공우주호텔),N,33.30246481,126.2945819
대평횟집,Y,33.23764966,126.362001
세븐일레븐 서귀포덕수점,Y,33.25870435,126.3041888
페를로,N,33.25673168,126.3061361
CU서귀동광로점,Y,33.31808674,126.3457925
뽀로로테마파크,Y,33.30044342,126.3708122
산방산나들목,Y,33.23033232,126.3080654
바다스케치,N,33.23493271,126.3097501
제주나르샤리조트,N,33.23389821,126.2937855
연암재,N,33.23507722,126.2962779
산방산탄산온천,Y,33.24890039,126.2987639
포도호텔,N,33.31431906,126.3928897
방주교회,Y,33.30512643,126.3877866
디아넥스호텔,N,33.3032687,126.3921116
오설록주차장,Y,33.2986963,126.2877723
제주다와풀빌라,Y,33.24238723,126.3680954
동광메밀짬뽕,Y,33.31065999,126.3497051
마마뜰카페,Y,33.3101922,126.3335672
피규어뮤지엄제주,Y,33.28190281,126.3553587
헬로키티아일랜드,Y,33.29010127,126.352082
주식회사 까사데비발디,N,33.23416082,126.2905004
서부소방서 안덕 119센터,Y,33.25120141,126.3308562
어썸,N,33.25643548,126.4025967
스놉부티크스테이,Y,33.23327758,126.3695814
월드컵흑돼지,N,33.24304042,126.5051366
월평마을회관(다목적건물),Y,33.24611993,126.4607818
뜨레피아,N,33.24949532,126.4590527
휴식호텔중문,N,33.23887253,126.4304107
올레요리조트,N,33.2347494,126.4926906
정혜재활원,Y,33.28467665,126.5814767
코델리아S호텔,Y,33.45492608,126.9102771
삼화석유 에이스주유소,Y,33.25509055,126.5724446
삼화석유 법환주유소,Y,33.24790307,126.5127149
중문관광단지충전소,Y,33.2630671,126.3979668
황토기와집,N,33.26393747,126.3952433
중문미로파크,N,33.26339597,126.3819347
씨에스호텔앤리조트,N,33.24291556,126.4202942
중문썬라이즈,N,33.24756813,126.4304831
류차이,Y,33.2496401,126.4316758
서귀포개인택시조합,Y,33.26947007,126.5929608
서귀포샘물교회,N,33.26467227,126.5639063
기아오토큐중부점,Y,33.26254592,126.5364078
플레이롤러,Y,33.26189801,126.5252712
더풍성한교회,N,33.26461032,126.5688951
삼화석유 서귀주유소,Y,33.24834563,126.5690994
허니문하우스,Y,33.24416306,126.5788672
서귀포KAL호텔,Y,33.24432465,126.5807935
제주브릭스,N,33.2446192,126.5357771
서귀포흑돼지명가,N,33.2440732,126.5363637
흑돈향,N,33.24472089,126.5292484
제이이피,Y,33.24279318,126.5354777
서귀포시 교통행정과(공영버스 차고지),Y,33.284661,126.5886735
선지왓숯불갈비,N,33.26270495,126.5920777
가나안교회,N,33.41538276,126.7710125
블랙랜드레이스,N,33.30625516,126.7943242
옛정의골식당,N,33.3890374,126.804684
성읍녹차마을 영농조합법인,Y,33.3810755,126.7899612
가시리은하수가든,N,33.36060083,126.7673354
가시리교회,N,33.35117806,126.7717523
표선2차반석타운아파트,Y,33.32114751,126.8282521
표선 공영주차장(표선면사무소 옆),Y,33.32648969,126.8315711
표선 공영주차장(표선면사무소 옆),Y,33.32648969,126.8315711
세계술박물관,N,33.35396955,126.8175945
하원마을회,N,33.25672816,126.461133
꿈의교회,N,33.26286451,126.6069048
뜨레모아5차아파트,N,33.47490379,126.4816388
국제대학교,Y,33.4427728,126.5698313
이도 주원라비앙,Y,33.49908104,126.536283
목마,N,33.52308351,126.5595869
노형부영3차아파트,N,33.47728075,126.4860572
